"","ARN","AU","B","C","CH","D","HP","LC","LW","MC","SD","TC"
"ARN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AU",0.0126880400288518,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",0.0133816519059285,0.0132869625759945,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",0.0176450160970423,0.0152292032597647,0.0175790939971275,0,NA,NA,NA,NA,NA,NA,NA,NA
"CH",0.0140250377084456,0.0121009973014784,0.0142424547016458,0.0181023116763993,0,NA,NA,NA,NA,NA,NA,NA
"D",0.0195655074225597,0.0203704743271661,0.0200197010012232,0.0175922050204165,0.0242237210709197,0,NA,NA,NA,NA,NA,NA
"HP",0.0218272717488408,0.0159356905686148,0.0167136468127247,0.0188094823923724,0.0208089274827182,0.0292322035693799,0,NA,NA,NA,NA,NA
"LC",0.0186738665527656,0.0126890638209409,0.0143067209510457,0.0183893600508616,0.0142026181825158,0.0283633553691957,0.0164225995864227,0,NA,NA,NA,NA
"LW",0.0315931446051442,0.026899934866692,0.0242482000338061,0.0236320528990433,0.0253826957211274,0.0329324554036056,0.0318772886628883,0.0285981055948152,0,NA,NA,NA
"MC",0.021986271199913,0.0150434327236824,0.0190268940051652,0.0239895833738718,0.0168818239191145,0.0303901974955476,0.0189949185473982,0.0126999654418579,0.0328425276400969,0,NA,NA
"SD",0.0156811682007639,0.0130044425256736,0.0123370635649057,0.0175200767732054,0.0147206139109085,0.0274201184235518,0.0219154952729057,0.0199912119850089,0.0229015822422265,0.0213276893425787,0,NA
"TC",0.0119994109100374,0.0109680703257048,0.0121333396360984,0.014529051036079,0.0107136510852454,0.0174846244364605,0.0191769664258072,0.0172261654698013,0.0270100464073167,0.0186074698091323,0.0152690816213619,0
