Site Name,Code,County,Gridreff,siteno.gref
Aston Rowant (N),ARN,Oxfordshire,SU730960,29
Aston Rowant (S),ARS,Oxfordshire,SU720960,30
Aston Upthorpe Downs,AU,Oxfordshire,SU54508370,1312
Bowdown (Baynes/Bomb Site),B,Berkshire,SU50806500,1311
Coombe Hill,CH,Buckinghamshire,SP84700670,1309
Crabtree,C,Hampshire,SU66305190,1050
Dancersend,D,Buckinghamshire,SP900095,1323
Howbery Park,HP,Oxfordshire,SU61509000,1314
Lardon Chase,LC,Berkshire,SU58708090,1321
"Little Wittenham, Hill Farm",LW,Oxfordshire,SU56209230,1310
Moor Copse Nature Reserve,MC,Berkshire,SU63707410,1319
Pamber Forest,PF,Hampshire,SU61506100,1024
Swyncombe Downs,SD,Oxfordshire,SU67509150,1322
The Crong,TC,Buckinghamshire,SP90400880,1318
Warton Crag LNR,WC,Lancashire,SD49407270,1111
Whitecross Green Wood,WG,Oxfordshire,SP600140,117
Wytham Woods,WW,Oxfordshire,SP470100,994
